,Artist,Track,Album,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Licensed,Path
3914,Keyshia Cole,Let It Go,Just Like You,0.806,0.721,10.0,-5.167,0.215,0.197,0.0,0.209,0.781,94.967,238333.0,https://www.youtube.com/watch?v=Hybj2Gfk6G8,True,data/500_mp3/mp3/3914.mp3
1332,Lata Mangeshkar,Pyar Kar,Dil To Pagal Hai,0.629,0.523,7.0,-11.134,0.0362,0.519,0.000502,0.416,0.645,88.077,405029.0,https://www.youtube.com/watch?v=tvxXAZo1Hlg,True,data/500_mp3/mp3/1332.mp3
7575,Pixies,Hey,Doolittle,0.59,0.372,7.0,-12.37,0.0318,0.00105,0.00929,0.316,0.306,99.887,210907.0,https://www.youtube.com/watch?v=PIkWJZf33UY,False,data/500_mp3/mp3/7575.mp3
17483,Karan Aujla,Ykwim,Ykwim,0.837,0.575,5.0,-7.971,0.127,0.0361,7.23e-06,0.457,0.655,105.015,194857.0,https://www.youtube.com/watch?v=rHMZleMG628,True,data/500_mp3/mp3/17483.mp3
7350,Miguel,Adorn,Kaleidoscope Dream,0.625,0.576,11.0,-5.693,0.175,0.0543,4.07e-05,0.187,0.235,179.063,193147.0,https://www.youtube.com/watch?v=8dM5QYdTo08,True,data/500_mp3/mp3/7350.mp3
2226,Sezen Aksu,Şanıma İnanma,Bahane,0.713,0.792,5.0,-6.217,0.0591,0.287,2.8e-06,0.123,0.866,95.992,235773.0,https://www.youtube.com/watch?v=PAavIWxlvUo,True,data/500_mp3/mp3/2226.mp3
18880,Mainstreet,Saturno,Saturno,0.694,0.551,5.0,-5.929,0.0485,0.704,0.0,0.1,0.908,95.003,186947.0,https://www.youtube.com/watch?v=VF97zz_5oCc,True,data/500_mp3/mp3/18880.mp3
15134,alt-J,Every Other Freckle,This Is All Yours,0.543,0.707,2.0,-7.636,0.07,0.614,0.0414,0.118,0.515,143.915,216004.0,https://www.youtube.com/watch?v=axTSc3e6wu8,False,data/500_mp3/mp3/15134.mp3
3782,Don Diablo,Hot Air Balloon,FORΞVΞR (DΞLUXΞ ΞDITION),0.815,0.71,6.0,-6.353,0.0469,0.129,0.528,0.113,0.572,122.967,173659.0,https://www.youtube.com/watch?v=iqJKohK2f8g,False,data/500_mp3/mp3/3782.mp3
6433,James Brown,Try Me,"Please, Please, Please",0.676,0.224,0.0,-15.193,0.0293,0.931,0.0,0.302,0.665,101.47,153707.0,https://www.youtube.com/watch?v=6HYpxd4KRSM,True,data/500_mp3/mp3/6433.mp3
